trip_id,driver_id,user_id,pickup_location_id,dropoff_location_id,pickup_time,dropoff_time,distance_km,duration_minutes,base_fare,surge_multiplier,trip_status,payment_method,payment_status
TRP-003717,DRV-00078,USR-000178,LOC-026,LOC-025,2024-01-20 16:10:06,2024-01-20 16:15:06,1.48,5,9000.0,1.2,Completed,Cash,Success
TRP-001541,DRV-00019,USR-000689,LOC-008,LOC-021,2024-06-04 11:41:50,2024-06-04 13:22:50,21.54,101,88500.0,1.5,Completed,GoPay,Success
TRP-008763,DRV-00338,USR-001641,LOC-032,LOC-032,2024-02-20 15:30:44,2024-02-20 16:26:44,17.25,56,49500.0,1.2,Completed,GoPay,Success
TRP-004167,DRV-00450,USR-000237,LOC-020,LOC-024,2024-11-17 16:06:53,2024-11-17 16:18:53,,12,9500.0,1.2,Completed,Credit Card,Success
TRP-000588,DRV-00362,USR-001236,LOC-003,LOC-008,2024-01-16 03:51:59,2024-01-16 04:26:59,,35,27000.0,1.0,Completed,Credit Card,Success
TRP-008025,DRV-00470,USR-000855,LOC-015,LOC-013,2024-06-19 18:37:27,2024-06-19 20:15:27,26.02,98,94000.0,1.2,Cancelled,GoPay,Success
TRP-009344,DRV-00011,USR-000810,LOC-019,LOC-020,2024-09-03 04:06:51,2024-09-03 04:49:51,17.15,43,61000.0,1.5,Completed,GoPay,Success
TRP-008410,DRV-00392,USR-000640,LOC-026,LOC-029,2024-07-06 09:29:41,2024-07-06 09:39:41,1.77,10,9000.0,1.2,Completed,Credit Card,Success
TRP-002848,DRV-00001,USR-001609,LOC-021,LOC-024,2024-03-05 18:11:02,2024-03-05 18:21:02,2.94,10,11500.0,1.2,Completed,Cash,Success
TRP-005011,DRV-00158,USR-001856,LOC-022,LOC-020,2024-09-22 07:10:28,2024-09-22 07:18:28,2.44,8,9000.0,1.0,Completed,GoPay,Failed
TRP-007012,DRV-00334,USR-000904,LOC-021,LOC-023,2024-07-13 19:37:09,2024-07-13 20:50:09,18.81,73,56500.0,1.0,Completed,Cash,Success
TRP-007017,DRV-00433,USR-000300,LOC-024,LOC-020,2024-10-25 07:57:13,2024-10-25 08:59:13,12.89,62,37000.0,1.2,Completed,GoPay,Success
TRP-005957,DRV-00329,USR-001163,LOC-012,LOC-001,2024-03-20 17:33:48,2024-03-20 19:28:48,26.4,115,98000.0,2.5,Completed,Cash,Success
TRP-001651,DRV-00317,USR-000444,LOC-034,LOC-033,2024-11-16 19:13:46,2024-11-16 19:48:46,12.19,35,60500.0,1.2,Completed,GoPay,Pending
TRP-002404,DRV-00204,USR-001889,LOC-014,LOC-017,2024-11-06 05:18:04,2024-11-06 06:21:04,,63,29000.0,1.0,Completed,Cash,Success
TRP-000452,DRV-00173,USR-001434,LOC-044,LOC-046,2024-02-25 01:04:47,2024-02-25 03:45:47,27.7,161,106000.0,1.0,Completed,GoPay,Success
TRP-008218,DRV-00266,USR-000587,LOC-007,LOC-001,2024-09-11 21:42:12,2024-09-11 23:04:12,14.03,82,33500.0,1.0,Completed,Credit Card,Success
TRP-001758,DRV-00147,USR-001322,LOC-002,LOC-010,2024-06-25 13:08:47,2024-06-25 15:33:47,25.74,145,59000.0,1.5,Cancelled,Cash,Success
TRP-007845,DRV-00112,USR-000951,LOC-037,LOC-036,2024-09-24 10:17:51,2024-09-24 11:42:51,29.13,85,154000.0,1.0,Completed,Credit Card,Success
TRP-002825,DRV-00333,USR-001295,LOC-024,LOC-022,2024-09-17 20:55:21,2024-09-17 21:23:21,10.69,28,44500.0,2.5,Completed,Cash,Success
TRP-005019,DRV-00464,USR-000234,LOC-002,LOC-008,2024-03-14 18:38:12,2024-03-14 18:59:12,7.68,21,20500.0,1.5,Completed,Credit Card,Success
TRP-003343,DRV-00181,USR-001625,LOC-038,LOC-038,2024-03-11 14:44:53,2024-03-11 16:24:53,19.38,100,95500.0,1.5,Completed,GoPay,Success
TRP-004024,DRV-00287,USR-001178,LOC-008,LOC-009,2024-02-15 17:33:40,2024-02-15 18:54:40,27.19,81,87000.0,1.2,Completed,GoPay,Success
TRP-006865,DRV-00041,USR-000275,LOC-016,LOC-015,2024-11-20 18:08:00,2024-11-20 19:28:00,14.52,80,52500.0,1.5,Completed,Cash,Success
TRP-008436,DRV-00164,USR-000127,LOC-011,LOC-009,2024-01-24 08:57:19,2024-01-24 10:38:19,29.6,101,115000.0,1.2,Completed,Cash,Success
TRP-009340,DRV-00497,USR-000842,LOC-010,LOC-008,2024-04-24 00:57:42,2024-04-24 02:21:42,19.32,84,75000.0,1.0,Completed,GoPay,Success
TRP-001068,DRV-00491,USR-000439,LOC-015,LOC-014,2024-06-20 19:26:53,2024-06-20 20:17:53,8.7,51,34000.0,1.0,Completed,GoPay,Success
TRP-008845,DRV-00220,USR-000735,LOC-031,LOC-034,2024-11-02 18:14:11,2024-11-02 18:19:11,1.05,5,9000.0,1.2,Completed,GoPay,Success
TRP-001844,DRV-00420,USR-001306,LOC-007,LOC-044,2024-06-19 23:02:26,2024-06-20 01:05:26,25.0,123,73000.0,1.0,Completed,GoPay,Success
TRP-000288,DRV-00069,USR-001279,LOC-036,LOC-035,2024-08-18 18:11:12,2024-08-18 18:19:12,2.71,8,15000.0,1.0,Cancelled,GoPay,Success
TRP-001082,DRV-00098,USR-000052,LOC-001,LOC-003,2024-03-23 07:34:52,2024-03-23 08:05:52,12.04,31,36500.0,2.0,Completed,GoPay,Success
TRP-007061,DRV-00413,USR-001244,LOC-015,LOC-017,2024-11-05 02:23:59,2024-11-05 05:08:59,29.78,165,159500.0,1.0,Completed,GoPay,Success
TRP-004003,DRV-00159,USR-001174,LOC-005,LOC-003,2024-10-26 09:11:16,2024-10-26 10:13:16,17.83,62,36000.0,1.2,Completed,GoPay,Success
TRP-005407,DRV-00284,USR-001550,LOC-014,LOC-013,2024-03-07 20:50:06,2024-03-07 22:35:06,20.42,105,80000.0,1.2,Completed,GoPay,Success
TRP-009050,DRV-00117,USR-001764,LOC-017,LOC-015,2024-05-28 04:44:57,2024-05-28 05:14:57,6.07,30,28000.0,1.0,Completed,Cash,Success
TRP-001501,DRV-00130,USR-001025,LOC-030,LOC-031,2024-02-15 20:02:19,2024-02-15 21:03:19,15.05,61,60000.0,1.2,Completed,GoPay,Success
TRP-001437,DRV-00001,USR-000773,LOC-022,LOC-021,2024-10-31 02:23:55,2024-10-31 02:45:55,6.7,22,17500.0,1.0,Failed,GoPay,Success
TRP-006397,DRV-00311,USR-001871,LOC-034,LOC-031,2024-09-02 08:55:04,2024-09-02 09:02:04,2.3,7,15000.0,1.2,Completed,GoPay,Success
TRP-000374,DRV-00316,USR-000235,LOC-016,LOC-018,2024-11-15 03:40:28,2024-11-15 05:03:28,15.6,83,52000.0,1.2,Completed,Cash,Success
TRP-004260,DRV-00203,USR-001138,LOC-040,LOC-040,2024-08-12 17:43:12,2024-08-12 20:11:12,26.37,148,135500.0,1.2,Completed,Credit Card,Success
TRP-004366,DRV-00020,USR-000797,LOC-009,LOC-004,2024-10-12 12:05:38,2024-10-12 13:31:38,28.81,86,89000.0,1.2,Completed,GoPay,Success
TRP-005305,DRV-00491,USR-001285,LOC-017,LOC-015,2024-04-21 20:32:34,2024-04-21 22:40:34,26.32,128,68000.0,1.5,Completed,Cash,Success
TRP-003984,DRV-00317,USR-000350,LOC-030,LOC-033,2024-04-13 03:37:47,2024-04-13 04:31:47,18.41,54,67000.0,1.0,Completed,Cash,Success
TRP-008950,DRV-00497,USR-001773,LOC-002,LOC-001,2024-07-21 04:12:14,2024-07-21 05:03:14,16.22,51,88500.0,1.0,Completed,Credit Card,Success
TRP-001679,DRV-00130,USR-001344,LOC-030,LOC-033,2024-02-20 19:37:29,2024-02-20 19:42:29,1.12,5,15000.0,1.5,Completed,GoPay,Success
TRP-008133,DRV-00146,USR-000307,LOC-014,LOC-013,2024-07-22 10:52:59,2024-07-22 11:42:59,9.21,50,19500.0,1.0,Completed,GoPay,Success
TRP-009327,DRV-00050,USR-001702,LOC-012,LOC-001,2024-04-07 09:35:00,2024-04-07 10:06:00,7.6,31,24500.0,1.2,Completed,Cash,Success
TRP-005819,DRV-00061,USR-001702,LOC-009,LOC-038,2024-09-27 08:55:15,2024-09-27 10:51:15,20.06,116,76000.0,2.0,Completed,GoPay,Success
TRP-007187,DRV-00128,USR-000353,LOC-014,LOC-015,2024-01-15 23:55:30,2024-01-16 01:53:30,24.4,118,52000.0,1.0,Completed,GoPay,Success
TRP-005904,DRV-00271,USR-001707,LOC-025,LOC-025,2024-11-09 15:14:05,2024-11-09 15:58:05,9.81,44,44500.0,1.0,Completed,GoPay,Success
TRP-003919,DRV-00499,USR-001275,LOC-011,LOC-004,2024-04-09 12:55:56,2024-04-09 15:28:56,29.98,153,119000.0,1.0,Completed,Cash,Success
TRP-009478,DRV-00433,USR-000750,LOC-024,LOC-023,2024-11-27 07:44:51,2024-11-27 09:25:51,25.52,101,83500.0,1.2,Completed,GoPay,Success
TRP-007499,DRV-00399,USR-001728,LOC-019,LOC-021,2024-06-24 08:58:09,2024-06-24 09:59:09,14.28,61,44500.0,1.2,Completed,GoPay,Success
TRP-004104,DRV-00074,USR-000064,LOC-027,LOC-026,2024-05-23 07:38:27,2024-05-23 09:28:27,29.45,110,94500.0,1.2,Completed,Cash,Success
TRP-009588,DRV-00366,USR-000520,LOC-045,LOC-043,2024-11-29 07:27:31,2024-11-29 07:40:31,4.91,13,12500.0,2.0,Completed,GoPay,Success
TRP-004562,DRV-00042,USR-000895,LOC-023,LOC-023,2024-04-05 21:41:50,2024-04-05 22:00:50,4.35,19,12000.0,1.0,Failed,GoPay,Success
TRP-007958,DRV-00155,USR-000324,LOC-004,LOC-011,2024-05-27 23:23:34,2024-05-28 01:23:34,22.92,120,65500.0,1.0,Completed,GoPay,Success
TRP-002573,DRV-00458,USR-000388,LOC-005,LOC-003,2024-11-09 01:30:54,2024-11-09 02:33:54,20.68,63,57000.0,1.0,Completed,GoPay,Success
TRP-003817,DRV-00459,USR-000725,LOC-024,LOC-021,2024-08-07 20:13:38,2024-08-07 21:32:38,14.95,79,31000.0,1.0,Completed,GoPay,Success
TRP-002008,DRV-00331,USR-000993,LOC-012,LOC-012,2024-04-24 17:31:37,2024-04-24 19:15:37,20.06,104,69500.0,1.0,Completed,Cash,Success
TRP-007510,DRV-00007,USR-001181,LOC-004,LOC-002,2024-05-26 08:29:53,2024-05-26 09:47:53,17.63,78,86000.0,1.0,Completed,GoPay,Success
TRP-004125,DRV-00159,USR-000972,LOC-005,LOC-002,2024-09-10 12:47:37,2024-09-10 14:12:37,26.43,85,75000.0,1.2,Completed,GoPay,Success
TRP-001237,DRV-00188,USR-001089,LOC-004,LOC-021,2024-12-21 21:37:03,2024-12-21 22:19:03,10.26,42,47500.0,1.2,Completed,Credit Card,Success
TRP-007227,DRV-00495,USR-000854,LOC-012,LOC-008,2024-05-06 02:57:55,2024-05-06 04:31:55,22.65,94,46000.0,1.0,Completed,GoPay,Success
TRP-007724,DRV-00128,USR-001461,LOC-016,LOC-015,2024-03-02 18:30:28,2024-03-02 19:51:28,14.38,81,34500.0,1.5,Completed,GoPay,Success
TRP-001140,DRV-00334,USR-000477,LOC-022,LOC-019,2024-09-08 07:03:49,2024-09-08 07:47:49,9.54,44,29500.0,1.0,Completed,GoPay,Success
TRP-005064,DRV-00193,USR-001587,LOC-024,LOC-023,2024-07-10 23:04:41,2024-07-11 00:28:41,16.37,84,81000.0,1.0,Completed,Cash,Success
TRP-001192,DRV-00397,USR-001969,LOC-025,LOC-025,2024-11-02 16:40:19,2024-11-02 16:52:19,2.23,12,9000.0,1.0,Completed,GoPay,Success
TRP-009604,DRV-00089,USR-001980,LOC-010,LOC-007,2024-08-10 00:42:00,2024-08-10 01:53:00,18.32,71,65500.0,1.0,Completed,Cash,Success
TRP-003205,DRV-00365,USR-000603,LOC-021,LOC-022,2024-06-30 21:20:35,2024-06-30 21:57:35,7.96,37,21500.0,1.0,Completed,GoPay,Success
TRP-008287,DRV-00394,USR-000534,LOC-037,LOC-035,2024-08-03 07:03:26,2024-08-03 08:31:26,14.89,88,34000.0,1.2,Completed,GoPay,Success
TRP-001922,DRV-00293,USR-001091,LOC-007,LOC-010,2024-01-22 07:42:42,2024-01-22 09:39:42,26.79,117,128000.0,1.2,Cancelled,Credit Card,Success
TRP-000111,DRV-00482,USR-001295,LOC-022,LOC-022,2024-02-05 17:24:44,2024-02-05 19:07:44,24.72,103,,2.0,Completed,Cash,Success
TRP-004991,DRV-00152,USR-001152,LOC-030,LOC-033,2024-06-06 17:21:42,2024-06-06 17:26:42,1.34,5,9000.0,1.2,Completed,Cash,Success
TRP-005034,DRV-00390,USR-000787,LOC-011,LOC-011,2024-03-26 16:23:42,2024-03-26 16:59:42,7.1,36,19000.0,1.0,Completed,GoPay,Success
TRP-009062,DRV-00322,USR-001535,LOC-013,LOC-013,2024-10-01 12:30:03,2024-10-01 15:22:03,28.79,172,111000.0,1.0,Completed,GoPay,Success
TRP-000177,DRV-00274,USR-001294,LOC-004,LOC-007,2024-01-05 15:59:58,2024-01-05 16:22:58,8.41,23,30500.0,1.0,Completed,Cash,Success
TRP-007931,DRV-00091,USR-001611,LOC-043,LOC-042,2024-10-30 16:52:18,2024-10-30 17:15:18,5.35,23,16500.0,1.0,Completed,GoPay,Success
TRP-009374,DRV-00186,USR-000623,LOC-018,LOC-013,2024-01-20 21:27:52,2024-01-20 23:31:52,22.08,124,52500.0,1.0,Completed,Cash,Success
TRP-007016,DRV-00411,USR-001057,LOC-032,LOC-034,2024-08-19 03:18:29,2024-08-19 04:39:29,14.05,81,54500.0,1.0,Completed,Cash,Success
TRP-000144,DRV-00424,USR-000590,LOC-015,LOC-015,2024-09-09 20:14:01,2024-09-09 21:26:01,23.95,72,62500.0,1.5,Completed,GoPay,Success
TRP-000937,DRV-00294,USR-001536,LOC-028,LOC-027,2024-10-16 07:49:07,2024-10-16 08:39:07,15.59,50,43000.0,1.2,Completed,GoPay,Success
TRP-004998,DRV-00306,USR-000515,LOC-038,LOC-036,2024-11-13 02:34:33,2024-11-13 04:49:33,23.35,135,113000.0,1.0,Completed,GoPay,Pending
TRP-007897,DRV-00436,USR-000423,LOC-004,LOC-003,2024-12-16 11:58:30,2024-12-16 13:29:30,25.7,91,130000.0,1.0,Cancelled,GoPay,Pending
TRP-003650,DRV-00139,USR-000535,LOC-014,LOC-017,2024-11-18 05:16:28,2024-11-18 06:24:28,18.98,68,69500.0,1.0,Completed,Cash,Success
TRP-000361,DRV-00050,USR-001456,LOC-001,LOC-005,2024-10-07 02:31:06,2024-10-07 03:14:06,14.19,43,37000.0,1.0,Completed,GoPay,Success
TRP-006696,DRV-00391,USR-001825,LOC-013,LOC-017,2024-02-05 09:51:39,2024-02-05 11:38:39,23.09,107,1956601.0,1.2,Completed,Cash,Success
TRP-003697,DRV-00202,USR-000308,LOC-006,LOC-009,2024-06-18 01:02:16,2024-06-18 01:45:16,10.51,43,50500.0,1.2,Completed,Cash,Success
TRP-006738,DRV-00160,USR-001523,LOC-017,LOC-017,2024-04-21 18:44:33,2024-04-21 20:20:33,29.56,96,86500.0,1.0,Completed,Credit Card,Success
TRP-000105,DRV-00137,USR-001704,LOC-025,LOC-029,2024-07-19 18:46:43,2024-07-19 19:43:43,18.07,57,75500.0,1.5,Completed,GoPay,Success
TRP-001296,DRV-00223,USR-001831,LOC-021,LOC-022,2024-01-27 08:15:31,2024-01-27 09:42:31,22.8,87,83000.0,1.2,Completed,Cash,Success
TRP-000913,DRV-00451,USR-001856,LOC-001,LOC-004,2024-08-13 09:08:12,2024-08-13 09:17:12,2.27,9,15000.0,1.2,Completed,GoPay,Success
TRP-002787,DRV-00028,USR-000543,LOC-025,LOC-026,2024-12-18 08:58:36,2024-12-18 09:13:36,6.02,15,19000.0,1.0,Completed,GoPay,Success
TRP-005060,DRV-00128,USR-000244,LOC-016,LOC-018,2024-09-11 22:46:21,2024-09-11 23:03:21,4.99,17,11000.0,1.0,Completed,Cash,Success
TRP-000184,DRV-00121,USR-001224,LOC-010,LOC-004,2024-07-08 20:05:00,2024-07-08 21:26:00,14.6,81,57500.0,1.2,Completed,GoPay,Success
TRP-009306,DRV-00279,USR-000973,LOC-001,LOC-012,2024-06-09 00:47:50,2024-06-09 00:52:50,,5,15000.0,1.0,Completed,GoPay,Success
TRP-005809,DRV-00077,USR-000005,LOC-004,LOC-006,2024-07-12 19:05:46,2024-07-12 19:58:46,10.16,53,32000.0,1.2,Completed,Cash,Success
TRP-004082,DRV-00300,USR-001395,LOC-014,LOC-016,2024-11-27 08:36:58,2024-11-27 09:15:58,13.91,39,45000.0,1.5,Completed,GoPay,Success
TRP-000200,DRV-00008,USR-000950,LOC-004,LOC-001,2024-12-22 00:13:30,2024-12-22 01:47:30,19.81,94,57000.0,1.0,Completed,GoPay,Success
TRP-009966,DRV-00307,USR-000565,LOC-026,LOC-026,2024-12-12 20:54:06,2024-12-12 21:22:06,5.92,28,21000.0,1.2,Completed,GoPay,Success
TRP-008100,DRV-00463,USR-001817,LOC-018,LOC-018,2024-11-17 07:29:29,2024-11-17 08:25:29,13.52,56,46000.0,1.2,Completed,GoPay,Success
TRP-000814,DRV-00430,USR-001491,LOC-021,LOC-021,2024-02-15 20:06:20,2024-02-15 21:26:20,25.0,80,61000.0,1.0,Completed,GoPay,Success
TRP-002449,DRV-00349,USR-001645,LOC-009,LOC-005,2024-09-08 08:36:04,2024-09-08 09:45:04,18.01,69,97000.0,1.2,Completed,Cash,Success
TRP-000010,DRV-00412,USR-001372,LOC-023,LOC-019,2024-11-02 18:39:10,2024-11-02 19:56:10,20.55,77,99000.0,2.5,Completed,GoPay,Success
TRP-005661,DRV-00008,USR-000812,LOC-007,LOC-010,2024-04-14 22:10:18,2024-04-14 23:04:18,10.24,54,,1.0,Completed,GoPay,Success
TRP-000331,DRV-00252,USR-000787,LOC-006,LOC-002,2024-02-19 04:21:23,2024-02-19 05:45:23,22.5,84,80000.0,1.0,Completed,Cash,Success
TRP-005734,DRV-00206,USR-001019,LOC-025,LOC-029,2024-10-06 18:23:34,2024-10-06 20:00:34,27.23,97,69000.0,1.2,Completed,GoPay,Success
TRP-004414,DRV-00114,USR-001391,LOC-003,LOC-008,2024-07-26 20:12:44,2024-07-26 21:25:44,20.06,73,58500.0,1.0,Completed,GoPay,Failed
TRP-007997,DRV-00363,USR-000802,LOC-006,LOC-010,2024-04-05 11:27:58,2024-04-05 12:48:58,13.58,81,55000.0,1.2,Completed,GoPay,Success
TRP-004734,DRV-00319,USR-001091,LOC-008,LOC-007,2024-10-02 09:36:55,2024-10-02 10:52:55,26.29,76,59500.0,1.0,Completed,GoPay,Success
TRP-006418,DRV-00484,USR-001903,LOC-035,LOC-036,2024-08-16 09:34:07,2024-08-16 10:40:07,17.17,66,66000.0,1.0,Cancelled,GoPay,Success
TRP-000113,DRV-00323,USR-001094,LOC-024,LOC-019,2024-11-19 18:08:02,2024-11-19 18:41:02,6.6,33,21000.0,1.2,Completed,GoPay,Success
TRP-005350,DRV-00041,USR-000361,LOC-017,LOC-015,2024-12-18 20:29:32,2024-12-18 21:06:32,9.9,37,31500.0,1.5,Cancelled,GoPay,Success
TRP-001868,DRV-00391,USR-000261,LOC-015,LOC-013,2024-12-10 15:45:08,2024-12-10 16:19:08,5.7,34,29500.0,1.0,Failed,Cash,Success
TRP-006746,DRV-00473,USR-000204,LOC-026,LOC-027,2024-06-29 05:34:43,2024-06-29 06:50:43,24.81,76,112000.0,1.0,Completed,Cash,Success
TRP-003274,DRV-00298,USR-000929,LOC-024,LOC-023,2024-09-21 09:32:41,2024-09-21 09:37:41,1.29,5,9000.0,1.5,Completed,GoPay,Pending
TRP-006155,DRV-00147,USR-001981,LOC-011,LOC-003,2024-02-28 17:10:02,2024-02-28 17:59:02,18.23,49,38500.0,1.0,Failed,GoPay,Success
