payment_id,trip_id,payment_method,payment_status
1,TRP-000001,Cash,Success
2,TRP-000002,GoPay,Success
3,TRP-000003,GoPay,Success
4,TRP-000004,GoPay,Success
5,TRP-000005,GoPay,Failed
6,TRP-000006,GoPay,Success
7,TRP-000007,GoPay,Success
8,TRP-000008,Credit Card,Success
9,TRP-000009,GoPay,Pending
10,TRP-000010,Cash,Success
11,TRP-000011,Cash,Pending
12,TRP-000012,Credit Card,Success
13,TRP-000013,Cash,Success
14,TRP-000014,Credit Card,Success
15,TRP-000015,Cash,Success
16,TRP-000016,GoPay,Success
17,TRP-000017,GoPay,Failed
18,TRP-000018,GoPay,Success
19,TRP-000019,Credit Card,Success
20,TRP-000020,Credit Card,Success
21,TRP-000021,GoPay,Pending
22,TRP-000022,GoPay,Success
23,TRP-000023,Credit Card,Failed
24,TRP-000024,Cash,Success
25,TRP-000025,GoPay,Success
26,TRP-000026,GoPay,Success
27,TRP-000027,GoPay,Success
28,TRP-000028,Credit Card,Success
29,TRP-000029,Cash,Failed
30,TRP-000030,Cash,Success
31,TRP-000031,Credit Card,Success
32,TRP-000032,GoPay,Success
33,TRP-000033,GoPay,Success
34,TRP-000034,Cash,Success
35,TRP-000035,GoPay,Success
36,TRP-000036,Credit Card,Success
37,TRP-000037,Credit Card,Failed
38,TRP-000038,Cash,Failed
39,TRP-000039,GoPay,Success
40,TRP-000040,Credit Card,Success
41,TRP-000041,Credit Card,Success
42,TRP-000042,Credit Card,Success
43,TRP-000043,Cash,Success
44,TRP-000044,Credit Card,Pending
45,TRP-000045,Credit Card,Success
46,TRP-000046,GoPay,Success
47,TRP-000047,Cash,Failed
48,TRP-000048,Cash,Success
49,TRP-000049,Credit Card,Success
50,TRP-000050,Cash,Success
51,TRP-000051,GoPay,Success
52,TRP-000052,Cash,Pending
53,TRP-000053,GoPay,Success
54,TRP-000054,Credit Card,Success
55,TRP-000055,Cash,Success
56,TRP-000056,Cash,Pending
57,TRP-000057,GoPay,Pending
58,TRP-000058,GoPay,Success
59,TRP-000059,GoPay,Success
60,TRP-000060,Credit Card,Success
61,TRP-000061,GoPay,Success
62,TRP-000062,Cash,Success
63,TRP-000063,GoPay,Failed
64,TRP-000064,Cash,Success
65,TRP-000065,GoPay,Success
66,TRP-000066,Credit Card,Success
67,TRP-000067,GoPay,Success
68,TRP-000068,GoPay,Success
69,TRP-000069,Credit Card,Success
70,TRP-000070,Credit Card,Success
71,TRP-000071,GoPay,Success
72,TRP-000072,Cash,Success
73,TRP-000073,GoPay,Success
74,TRP-000074,Cash,Success
