raw_trip_id,trip_id,driver_id,user_id,pickup_location_id,dropoff_location_id,pickup_time,dropoff_time,distance_km,duration_minutes,base_fare,surge_multiplier,total_fare,trip_status,payment_method,payment_status
1,TRP-000001,DRV-00187,USR-00321,LOC-0026,LOC-0013,2024-05-14 00:25:52,2024-05-14 00:43:52,2.91,18,127756.99,1.5,191635.49,Completed,Cash,Success
2,TRP-000002,DRV-00338,USR-00645,LOC-0049,LOC-0037,2024-12-03 03:35:38,2024-12-03 05:14:38,8.17,99,131684.38,1.0,131684.38,Completed,GoPay,Success
3,TRP-000003,DRV-00370,USR-00370,LOC-0027,LOC-0003,2024-10-26 08:56:07,2024-10-26 09:07:07,25.63,11,109591.13,1.5,164386.7,Completed,GoPay,Success
4,TRP-000004,DRV-00141,USR-01088,LOC-0026,LOC-0035,2024-08-17 07:44:42,2024-08-17 09:12:42,37.14,88,37532.54,1.5,56298.81,Completed,GoPay,Success
5,TRP-000005,DRV-00322,USR-01977,LOC-0051,LOC-0005,2024-07-03 06:49:27,2024-07-03 08:45:27,35.25,116,140066.78,2.0,280133.56,Completed,GoPay,Failed
6,TRP-000006,DRV-00297,USR-00521,LOC-0026,LOC-0017,2024-01-02 15:56:21,2024-01-02 17:13:21,9.94,77,41052.13,1.75,71841.23,Completed,GoPay,Success
7,TRP-000007,DRV-00488,USR-01501,LOC-0051,LOC-0050,2024-09-05 13:24:55,2024-09-05 15:14:55,12.94,110,94034.3,1.0,94034.3,Failed,GoPay,Success
8,TRP-000008,DRV-00336,USR-00411,LOC-0001,LOC-0045,2024-06-15 19:14:04,2024-06-15 19:34:04,13.82,20,44383.48,1.0,44383.48,Completed,Credit Card,Success
9,TRP-000009,DRV-00392,USR-01909,LOC-0019,LOC-0021,2024-07-29 14:47:04,2024-07-29 16:25:04,22.4,98,19602.57,2.5,49006.43,Cancelled,GoPay,Pending
10,TRP-000010,DRV-00257,USR-01569,LOC-0054,LOC-0050,2024-07-26 14:45:27,2024-07-26 15:54:27,20.92,69,77373.86,1.25,96717.32,Completed,Cash,Success
